X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-1740.828,-3476.068,5.363,4.59,-0.62,0.28,0,0.0
-3409.595,-3658.19,999.0,999.0,-0.51,0.24,0,0.0
-2409.752,2922.164,999.0,999.0,-0.77,0.28,0,0.0
2353.126,-869.814,999.0,999.0,-0.94,0.23,0,1.0130819245897189e-126
-1773.722,-2192.37,-16.923,4.72,-0.7,0.29,0,0.0
-1912.804,-4616.738,999.0,999.0,-0.79,0.21,0,0.0
2946.77,3115.837,999.0,999.0,-0.85,0.24,0,0.0
-2340.75,-2236.07,7.018,4.07,-0.46,0.24,0,0.0
-4536.385,340.042,999.0,999.0,-0.72,0.2,0,0.0
2180.685,-149.91,-68.559,3.31,-0.65,0.29,0,2.76197918174382e-82
746.68,-3035.678,999.0,999.0,-0.58,0.26,0,0.0
3947.933,-4382.099,999.0,999.0,-0.56,0.26,0,0.0
-3733.765,-1118.181,999.0,999.0,-0.98,0.25,0,0.0
-2388.547,-1722.399,999.0,999.0,-0.93,0.2,0,2.4405084336731173e-281
607.635,-4299.486,999.0,999.0,-0.88,0.2,0,0.0
-2577.547,-2896.615,999.0,999.0,-0.53,0.23,0,0.0
-1505.51,-3218.409,999.0,999.0,-0.73,0.2,0,0.0
-1721.369,-4899.386,999.0,999.0,-1.08,0.21,0,0.0
-1848.061,4667.824,999.0,999.0,-0.81,0.28,0,0.0
-1468.285,1862.003,999.0,999.0,-0.98,0.28,0,1.3284149067674478e-224
-2326.309,-1979.657,999.0,999.0,-1.02,0.27,0,0.0
-905.916,-1503.297,999.0,999.0,-0.77,0.27,0,7.270190746336719e-132
1726.19,3937.42,999.0,999.0,-0.54,0.2,0,0.0
1836.822,3857.556,999.0,999.0,-0.04,0.24,0,0.0
-2179.021,1620.426,999.0,999.0,-0.57,0.25,0,8.797884709063777e-235
2672.592,598.4,-63.522,4.45,-0.28,0.22,0,1.4720921457228874e-153
576.264,1890.892,999.0,999.0,-0.63,0.21,0,1.1249546710385658e-193
3850.345,-1483.321,-71.17,4.1,-0.82,0.24,0,0.0
-488.069,-4776.915,37.536,4.21,-1.03,0.29,0,0.0
1034.994,-2179.83,22.9,3.93,-1.02,0.26,0,2.3690735840020186e-240
1160.452,1302.608,999.0,999.0,-0.98,0.25,0,1.1996226572152201e-114
-4014.636,1216.081,67.682,4.09,-1.29,0.25,0,0.0
1581.855,3864.739,999.0,999.0,-0.74,0.22,0,0.0
3855.04,3611.148,-10.358,3.93,-0.51,0.27,0,0.0
-3053.872,2506.775,-39.085,4.56,-0.64,0.27,0,0.0
-959.875,-510.676,999.0,999.0,-0.53,0.29,0,4.704073508001812e-34
424.382,-1134.29,999.0,999.0,-0.66,0.28,0,1.0188761879541208e-58
487.995,-1790.032,999.0,999.0,-0.67,0.2,0,3.0081290921164555e-153
-2797.853,964.103,-51.545,4.38,-0.61,0.23,0,5.671160698628324e-214
2134.903,3255.002,999.0,999.0,-0.57,0.25,0,0.0
746.157,1016.06,999.0,999.0,-0.99,0.26,0,8.832744524307434e-64
-3752.43,4271.451,999.0,999.0,-0.78,0.27,0,0.0
-1084.955,-4728.006,999.0,999.0,-0.98,0.28,0,0.0
734.844,1314.775,999.0,999.0,-1.08,0.23,0,1.2320764391563622e-100
-2218.043,4771.533,999.0,999.0,-0.48,0.23,0,0.0
4698.01,3827.335,999.0,999.0,-0.88,0.27,0,0.0
4193.533,1978.476,999.0,999.0,-0.46,0.23,0,0.0
-175.148,-2114.111,999.0,999.0,-0.89,0.27,0,4.717723564750082e-219
-2583.956,-595.52,999.0,999.0,-1.24,0.29,0,2.1433721883089647e-166
-3192.516,2057.402,999.0,999.0,-0.7,0.23,0,0.0
4382.207,-4483.078,999.0,999.0,-0.82,0.21,0,0.0
-4908.167,973.009,-33.463,4.41,-1.11,0.29,0,0.0
-4353.496,2971.517,-18.809,3.09,-0.71,0.23,0,0.0
-3366.655,1644.931,999.0,999.0,-0.85,0.29,0,0.0
641.866,-350.001,999.0,999.0,-0.29,0.24,0,5.566496755201217e-07
4957.682,4793.905,999.0,999.0,-0.46,0.25,0,0.0
-3185.022,1022.157,999.0,999.0,-0.46,0.26,0,2.447458018532547e-267
3067.462,-4226.04,999.0,999.0,-0.78,0.25,0,0.0
-816.988,-2478.184,999.0,999.0,-0.71,0.29,0,0.0
-921.009,-4206.48,999.0,999.0,-0.54,0.27,0,0.0
1608.375,663.841,19.713,7.57,-0.71,0.24,0,7.895261619083022e-70
4807.47,4897.877,999.0,999.0,-0.66,0.24,0,0.0
422.351,-3217.98,999.0,999.0,-0.83,0.2,0,0.0
-289.645,-451.148,8.503,5.04,-0.81,0.23,0,6.406052938426361e-10
-756.704,1790.842,999.0,999.0,-0.19,0.24,0,2.401590972108979e-179
4055.321,1481.019,26.633,4.09,-0.87,0.29,0,0.0
-2136.888,-813.755,999.0,999.0,-0.81,0.22,0,1.0566687062473923e-136
1115.444,-3346.647,-44.099,4.08,-1.05,0.28,0,0.0
3954.141,2867.411,999.0,999.0,-1.26,0.27,0,0.0
164.446,2299.668,999.0,999.0,-0.54,0.25,0,3.272973518421053e-276
-2150.358,2745.761,999.0,999.0,-0.78,0.22,0,0.0
4674.775,2044.115,999.0,999.0,-0.78,0.26,0,0.0
-1213.979,-4899.578,-64.079,4.05,-0.76,0.22,0,0.0
-3925.12,-4991.52,16.085,5.24,-1.08,0.27,0,0.0
-2809.678,-1125.76,999.0,999.0,-0.45,0.29,0,3.912232548643778e-241
2990.498,3872.091,999.0,999.0,-0.67,0.21,0,0.0
-2756.588,4263.862,999.0,999.0,-0.48,0.27,0,0.0
-3423.946,-427.325,999.0,999.0,-0.99,0.23,0,1.3942006204705945e-264
-3428.951,-950.112,999.0,999.0,-0.24,0.29,0,5.69513534110623e-305
3947.812,-4296.373,999.0,999.0,-0.29,0.23,0,0.0
3295.939,3903.79,999.0,999.0,-0.69,0.25,0,0.0
2737.437,-4000.923,999.0,999.0,-0.94,0.25,0,0.0
2711.741,1153.794,999.0,999.0,-0.66,0.29,0,1.2638039676796578e-213
